iter	RMSE
0	1.948964328
1	1.719116039
2	1.621174282
3	1.57446012
4	1.546384413
5	1.529547646
6	1.508881799
7	1.499362551
8	1.492349817
9	1.487376053
10	1.481913837
11	1.47950245
12	1.476199603
13	1.473703848
14	1.471830653
15	1.470422273
16	1.468487084
17	1.465527723
18	1.463259756
19	1.460945878
20	1.457843518
21	1.45669363
22	1.454703635
23	1.454104106
24	1.449582934
25	1.446279646
26	1.443135267
27	1.43983698
28	1.437761532
29	1.43592867
30	1.432419615
31	1.430940272
32	1.429795259
33	1.426856231
34	1.422325316
35	1.420444235
36	1.41730935
37	1.413458879
38	1.410337423
39	1.408159628
40	1.407263893
41	1.404921853
42	1.404295476
43	1.403540499
44	1.401167278
45	1.400307975
46	1.398656443
47	1.396956594
48	1.394097864
49	1.393424929
50	1.390556308
51	1.388196232
52	1.386229097
53	1.384793987
54	1.383554443
55	1.382377527
56	1.381334921
57	1.380243243
58	1.379966775
59	1.376556545
60	1.374923106
61	1.372872613
62	1.370874479
63	1.370148351
64	1.369826086
65	1.369061062
66	1.368243237
67	1.36693071
68	1.366022823
69	1.364294853
70	1.364175427
71	1.36233966
72	1.36136201
73	1.359871595
74	1.359783176
75	1.35849163
76	1.357456963
77	1.356146364
78	1.35588133
79	1.354509963
80	1.35155314
81	1.350455797
82	1.34962401
83	1.348038323
84	1.346263108
85	1.342211279
86	1.34122548
87	1.339654325
88	1.33786008
89	1.336811595
90	1.33467753
91	1.332846313
92	1.332440787
93	1.3306979
94	1.329741576
95	1.328258398
96	1.327809896
97	1.327267269
98	1.325667043
99	1.325225949
