iter	Passed	Remaining
0	0	84
1	1	75
2	2	71
3	3	81
4	4	86
5	5	85
6	6	82
7	7	80
8	7	79
9	8	77
10	9	76
11	10	73
12	10	72
13	11	71
14	12	69
15	12	68
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	60
22	17	59
23	18	58
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	28	48
37	28	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	43
43	33	42
44	33	41
45	34	40
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	77	0
